path,sign,video_id,n_frames
train_landmark_files/27214.parquet,help,27214,53
train_landmark_files/65891.parquet,help,65891,59
train_landmark_files/65889.parquet,help,65889,62
train_landmark_files/27215.parquet,help,27215,30
train_landmark_files/27216.parquet,help,27216,53
train_landmark_files/27217.parquet,help,27217,63
train_landmark_files/69411.parquet,no,69411,67
train_landmark_files/38525.parquet,no,38525,65
train_landmark_files/38544.parquet,no,38544,83
train_landmark_files/38527.parquet,no,38527,46
train_landmark_files/38529.parquet,no,38529,107
train_landmark_files/38530.parquet,no,38530,53
train_landmark_files/38532.parquet,no,38532,44
train_landmark_files/38533.parquet,no,38533,53
train_landmark_files/66183.parquet,no,66183,68
train_landmark_files/38524.parquet,no,38524,80
train_landmark_files/38534.parquet,no,38534,53
train_landmark_files/57948.parquet,thin,57948,53
train_landmark_files/57949.parquet,thin,57949,53
train_landmark_files/57934.parquet,thin,57934,90
train_landmark_files/57953.parquet,thin,57953,87
train_landmark_files/57935.parquet,thin,57935,90
train_landmark_files/57936.parquet,thin,57936,29
train_landmark_files/57937.parquet,thin,57937,31
train_landmark_files/66606.parquet,thin,66606,62
train_landmark_files/57939.parquet,thin,57939,37
train_landmark_files/57940.parquet,thin,57940,30
train_landmark_files/57941.parquet,thin,57941,30
train_landmark_files/57942.parquet,thin,57942,73
train_landmark_files/66607.parquet,thin,66607,72
train_landmark_files/57933.parquet,thin,57933,90
train_landmark_files/57943.parquet,thin,57943,119
train_landmark_files/57947.parquet,thin,57947,46
train_landmark_files/62175.parquet,walk,62175,96
train_landmark_files/62159.parquet,walk,62159,87
train_landmark_files/62160.parquet,walk,62160,29
train_landmark_files/62163.parquet,walk,62163,34
train_landmark_files/62164.parquet,walk,62164,81
train_landmark_files/66743.parquet,walk,66743,53
train_landmark_files/66742.parquet,walk,66742,66
train_landmark_files/62158.parquet,walk,62158,94
train_landmark_files/62168.parquet,walk,62168,70
train_landmark_files/62169.parquet,walk,62169,63
train_landmark_files/62170.parquet,walk,62170,41
train_landmark_files/64211.parquet,year,64211,51
train_landmark_files/64224.parquet,year,64224,94
train_landmark_files/64210.parquet,year,64210,79
train_landmark_files/64212.parquet,year,64212,52
train_landmark_files/66818.parquet,year,66818,53
train_landmark_files/64213.parquet,year,64213,97
train_landmark_files/66816.parquet,year,66816,58
train_landmark_files/64209.parquet,year,64209,70
train_landmark_files/64219.parquet,year,64219,27
train_landmark_files/64218.parquet,year,64218,58
train_landmark_files/69546.parquet,yes,69546,72
train_landmark_files/64287.parquet,yes,64287,68
train_landmark_files/64284.parquet,yes,64284,56
train_landmark_files/64291.parquet,yes,64291,55
train_landmark_files/64292.parquet,yes,64292,47
train_landmark_files/64293.parquet,yes,64293,53
train_landmark_files/66820.parquet,yes,66820,47
train_landmark_files/64280.parquet,yes,64280,63
train_landmark_files/64300.parquet,yes,64300,90
train_landmark_files/64281.parquet,yes,64281,71
train_landmark_files/64288.parquet,yes,64288,54
train_landmark_files/64283.parquet,yes,64283,22
train_landmark_files/69206.parquet,all,69206,89
train_landmark_files/02003.parquet,all,02003,76
train_landmark_files/01987.parquet,all,01987,75
train_landmark_files/01988.parquet,all,01988,144
train_landmark_files/01991.parquet,all,01991,49
train_landmark_files/01992.parquet,all,01992,59
train_landmark_files/65043.parquet,all,65043,61
train_landmark_files/01986.parquet,all,01986,83
train_landmark_files/69236.parquet,black,69236,63
train_landmark_files/06472.parquet,black,06472,91
train_landmark_files/06473.parquet,black,06473,56
train_landmark_files/06474.parquet,black,06474,80
train_landmark_files/06476.parquet,black,06476,32
train_landmark_files/06477.parquet,black,06477,23
train_landmark_files/06478.parquet,black,06478,44
train_landmark_files/65200.parquet,black,65200,47
train_landmark_files/06471.parquet,black,06471,77
train_landmark_files/06486.parquet,black,06486,111
train_landmark_files/69281.parquet,cool,69281,77
train_landmark_files/65403.parquet,cool,65403,74
train_landmark_files/13213.parquet,cool,13213,55
train_landmark_files/13197.parquet,cool,13197,26
train_landmark_files/13216.parquet,cool,13216,71
train_landmark_files/13217.parquet,cool,13217,74
train_landmark_files/13198.parquet,cool,13198,31
train_landmark_files/13199.parquet,cool,13199,56
train_landmark_files/13200.parquet,cool,13200,23
train_landmark_files/13201.parquet,cool,13201,91
train_landmark_files/65402.parquet,cool,65402,53
train_landmark_files/13202.parquet,cool,13202,76
train_landmark_files/13203.parquet,cool,13203,65
train_landmark_files/13196.parquet,cool,13196,26
train_landmark_files/13208.parquet,cool,13208,57
train_landmark_files/13209.parquet,cool,13209,67
train_landmark_files/21942.parquet,finish,21942,68
train_landmark_files/21943.parquet,finish,21943,28
train_landmark_files/21944.parquet,finish,21944,31
train_landmark_files/21945.parquet,finish,21945,69
train_landmark_files/21949.parquet,finish,21949,44
train_landmark_files/21950.parquet,finish,21950,29
train_landmark_files/65721.parquet,finish,65721,43
train_landmark_files/21941.parquet,finish,21941,56
train_landmark_files/21951.parquet,finish,21951,29
train_landmark_files/69368.parquet,hot,69368,57
train_landmark_files/28125.parquet,hot,28125,71
train_landmark_files/28108.parquet,hot,28108,69
train_landmark_files/28109.parquet,hot,28109,59
train_landmark_files/28110.parquet,hot,28110,35
train_landmark_files/28111.parquet,hot,28111,35
train_landmark_files/28112.parquet,hot,28112,78
train_landmark_files/28115.parquet,hot,28115,33
train_landmark_files/28116.parquet,hot,28116,44
train_landmark_files/28107.parquet,hot,28107,81
train_landmark_files/69389.parquet,like,69389,59
train_landmark_files/33266.parquet,like,33266,64
train_landmark_files/33285.parquet,like,33285,102
train_landmark_files/33267.parquet,like,33267,75
train_landmark_files/33286.parquet,like,33286,99
train_landmark_files/33268.parquet,like,33268,53
train_landmark_files/33269.parquet,like,33269,72
train_landmark_files/33270.parquet,like,33270,78
train_landmark_files/33273.parquet,like,33273,36
train_landmark_files/33274.parquet,like,33274,30
train_landmark_files/69396.parquet,many,69396,89
train_landmark_files/34823.parquet,many,34823,71
train_landmark_files/34824.parquet,many,34824,67
train_landmark_files/34825.parquet,many,34825,42
train_landmark_files/34826.parquet,many,34826,35
train_landmark_files/34827.parquet,many,34827,81
train_landmark_files/34830.parquet,many,34830,29
train_landmark_files/34831.parquet,many,34831,46
train_landmark_files/34832.parquet,many,34832,41
train_landmark_files/34839.parquet,many,34839,86
train_landmark_files/69402.parquet,mother,69402,82
train_landmark_files/36946.parquet,mother,36946,94
train_landmark_files/36930.parquet,mother,36930,68
train_landmark_files/36931.parquet,mother,36931,82
train_landmark_files/36932.parquet,mother,36932,75
train_landmark_files/36933.parquet,mother,36933,74
train_landmark_files/36936.parquet,mother,36936,38
train_landmark_files/36937.parquet,mother,36937,45
train_landmark_files/66147.parquet,mother,66147,66
train_landmark_files/66146.parquet,mother,66146,61
train_landmark_files/36929.parquet,mother,36929,61
train_landmark_files/69413.parquet,now,69413,60
train_landmark_files/38994.parquet,now,38994,78
train_landmark_files/38999.parquet,now,38999,30
train_landmark_files/39000.parquet,now,39000,33
train_landmark_files/38990.parquet,now,38990,78
train_landmark_files/39006.parquet,now,39006,81
train_landmark_files/38991.parquet,now,38991,78
train_landmark_files/38995.parquet,now,38995,83
train_landmark_files/38997.parquet,now,38997,41
train_landmark_files/69422.parquet,orange,69422,59
train_landmark_files/40115.parquet,orange,40115,84
train_landmark_files/40116.parquet,orange,40116,79
train_landmark_files/40117.parquet,orange,40117,38
train_landmark_files/40118.parquet,orange,40118,88
train_landmark_files/40119.parquet,orange,40119,88
train_landmark_files/40121.parquet,orange,40121,41
train_landmark_files/66246.parquet,orange,66246,64
train_landmark_files/40129.parquet,orange,40129,91
train_landmark_files/40130.parquet,orange,40130,91
train_landmark_files/56557.parquet,table,56557,39
train_landmark_files/56579.parquet,table,56579,71
train_landmark_files/56558.parquet,table,56558,102
train_landmark_files/56556.parquet,table,56556,72
train_landmark_files/56563.parquet,table,56563,40
train_landmark_files/57628.parquet,thanksgiving,57628,195
train_landmark_files/57647.parquet,thanksgiving,57647,83
train_landmark_files/57629.parquet,thanksgiving,57629,72
train_landmark_files/57630.parquet,thanksgiving,57630,67
train_landmark_files/57631.parquet,thanksgiving,57631,68
train_landmark_files/57632.parquet,thanksgiving,57632,20
train_landmark_files/57633.parquet,thanksgiving,57633,87
train_landmark_files/57634.parquet,thanksgiving,57634,58
train_landmark_files/57635.parquet,thanksgiving,57635,84
train_landmark_files/57638.parquet,thanksgiving,57638,58
train_landmark_files/57639.parquet,thanksgiving,57639,60
train_landmark_files/57640.parquet,thanksgiving,57640,48
train_landmark_files/57641.parquet,thanksgiving,57641,29
train_landmark_files/69531.parquet,what,69531,63
train_landmark_files/62967.parquet,what,62967,26
train_landmark_files/62968.parquet,what,62968,43
train_landmark_files/62970.parquet,what,62970,88
train_landmark_files/66769.parquet,what,66769,47
train_landmark_files/62987.parquet,what,62987,97
train_landmark_files/62964.parquet,what,62964,91
train_landmark_files/62988.parquet,what,62988,87
train_landmark_files/62975.parquet,what,62975,52
train_landmark_files/62965.parquet,what,62965,74
train_landmark_files/62979.parquet,what,62979,37
train_landmark_files/62966.parquet,what,62966,25
train_landmark_files/63679.parquet,woman,63679,69
train_landmark_files/63665.parquet,woman,63665,72
train_landmark_files/63666.parquet,woman,63666,70
train_landmark_files/63667.parquet,woman,63667,26
train_landmark_files/63668.parquet,woman,63668,32
train_landmark_files/63669.parquet,woman,63669,94
train_landmark_files/63672.parquet,woman,63672,29
train_landmark_files/63673.parquet,woman,63673,42
train_landmark_files/66798.parquet,woman,66798,49
train_landmark_files/66799.parquet,woman,66799,55
train_landmark_files/63664.parquet,woman,63664,121
train_landmark_files/05644.parquet,bed,05644,84
train_landmark_files/05629.parquet,bed,05629,69
train_landmark_files/05630.parquet,bed,05630,87
train_landmark_files/05631.parquet,bed,05631,24
train_landmark_files/05632.parquet,bed,05632,33
train_landmark_files/05633.parquet,bed,05633,27
train_landmark_files/05634.parquet,bed,05634,103
train_landmark_files/05636.parquet,bed,05636,66
train_landmark_files/65162.parquet,bed,65162,53
train_landmark_files/05637.parquet,bed,05637,50
train_landmark_files/65163.parquet,bed,65163,60
train_landmark_files/65161.parquet,bed,65161,58
train_landmark_files/05638.parquet,bed,05638,36
train_landmark_files/69238.parquet,blue,69238,62
train_landmark_files/06835.parquet,blue,06835,79
train_landmark_files/06839.parquet,blue,06839,35
train_landmark_files/65216.parquet,blue,65216,59
train_landmark_files/06832.parquet,blue,06832,64
train_landmark_files/06845.parquet,blue,06845,85
train_landmark_files/06833.parquet,blue,06833,69
train_landmark_files/06834.parquet,blue,06834,49
train_landmark_files/07389.parquet,bowling,07389,82
train_landmark_files/07390.parquet,bowling,07390,28
train_landmark_files/07391.parquet,bowling,07391,26
train_landmark_files/07392.parquet,bowling,07392,30
train_landmark_files/07393.parquet,bowling,07393,61
train_landmark_files/07394.parquet,bowling,07394,98
train_landmark_files/07397.parquet,bowling,07397,51
train_landmark_files/65242.parquet,bowling,65242,90
train_landmark_files/65241.parquet,bowling,65241,61
train_landmark_files/07388.parquet,bowling,07388,70
train_landmark_files/07398.parquet,bowling,07398,56
train_landmark_files/07399.parquet,bowling,07399,65
train_landmark_files/07400.parquet,bowling,07400,36
train_landmark_files/69257.parquet,can,69257,56
train_landmark_files/65294.parquet,can,65294,53
train_landmark_files/08955.parquet,can,08955,77
train_landmark_files/08935.parquet,can,08935,58
train_landmark_files/08936.parquet,can,08936,63
train_landmark_files/08937.parquet,can,08937,89
train_landmark_files/08938.parquet,can,08938,56
train_landmark_files/08942.parquet,can,08942,40
train_landmark_files/08944.parquet,can,08944,39
train_landmark_files/69298.parquet,dog,69298,81
train_landmark_files/17097.parquet,dog,17097,87
train_landmark_files/17084.parquet,dog,17084,58
train_landmark_files/17085.parquet,dog,17085,77
train_landmark_files/17086.parquet,dog,17086,68
train_landmark_files/17087.parquet,dog,17087,96
train_landmark_files/17090.parquet,dog,17090,51
train_landmark_files/17091.parquet,dog,17091,46
train_landmark_files/65506.parquet,dog,65506,75
train_landmark_files/65507.parquet,dog,65507,57
train_landmark_files/17083.parquet,dog,17083,62
train_landmark_files/69316.parquet,family,69316,85
train_landmark_files/20980.parquet,family,20980,83
train_landmark_files/20981.parquet,family,20981,78
train_landmark_files/20982.parquet,family,20982,36
train_landmark_files/20983.parquet,family,20983,88
train_landmark_files/20986.parquet,family,20986,60
train_landmark_files/20987.parquet,family,20987,41
train_landmark_files/65677.parquet,family,65677,68
train_landmark_files/20978.parquet,family,20978,101
train_landmark_files/20992.parquet,family,20992,83
train_landmark_files/20979.parquet,family,20979,81
train_landmark_files/69325.parquet,fish,69325,94
train_landmark_files/22130.parquet,fish,22130,85
train_landmark_files/22114.parquet,fish,22114,86
train_landmark_files/22115.parquet,fish,22115,61
train_landmark_files/22116.parquet,fish,22116,30
train_landmark_files/22117.parquet,fish,22117,78
train_landmark_files/22120.parquet,fish,22120,33
train_landmark_files/22121.parquet,fish,22121,50
train_landmark_files/65731.parquet,fish,65731,43
train_landmark_files/22113.parquet,fish,22113,76
train_landmark_files/25339.parquet,graduate,25339,87
train_landmark_files/25322.parquet,graduate,25322,57
train_landmark_files/25323.parquet,graduate,25323,31
train_landmark_files/25324.parquet,graduate,25324,32
train_landmark_files/25325.parquet,graduate,25325,32
train_landmark_files/25326.parquet,graduate,25326,64
train_landmark_files/65843.parquet,graduate,65843,71
train_landmark_files/25329.parquet,graduate,25329,49
train_landmark_files/25330.parquet,graduate,25330,59
train_landmark_files/25321.parquet,graduate,25321,92
train_landmark_files/69359.parquet,hat,69359,98
train_landmark_files/26713.parquet,hat,26713,68
train_landmark_files/26712.parquet,hat,26712,91
train_landmark_files/26739.parquet,hat,26739,98
train_landmark_files/26741.parquet,hat,26741,65
train_landmark_files/26714.parquet,hat,26714,34
train_landmark_files/26715.parquet,hat,26715,88
train_landmark_files/26717.parquet,hat,26717,36
train_landmark_files/26719.parquet,hat,26719,32
train_landmark_files/65884.parquet,hearing,65884,73
train_landmark_files/26972.parquet,hearing,26972,61
train_landmark_files/26973.parquet,hearing,26973,32
train_landmark_files/26974.parquet,hearing,26974,45
train_landmark_files/26975.parquet,hearing,26975,77
train_landmark_files/26976.parquet,hearing,26976,77
train_landmark_files/26971.parquet,hearing,26971,101
train_landmark_files/26980.parquet,hearing,26980,56
train_landmark_files/31767.parquet,kiss,31767,109
train_landmark_files/31750.parquet,kiss,31750,27
train_landmark_files/31751.parquet,kiss,31751,32
train_landmark_files/31752.parquet,kiss,31752,26
train_landmark_files/31753.parquet,kiss,31753,58
train_landmark_files/31755.parquet,kiss,31755,33
train_landmark_files/31756.parquet,kiss,31756,34
train_landmark_files/65996.parquet,kiss,65996,61
train_landmark_files/31749.parquet,kiss,31749,57
train_landmark_files/32156.parquet,language,32156,43
train_landmark_files/32157.parquet,language,32157,48
train_landmark_files/32158.parquet,language,32158,45
train_landmark_files/32160.parquet,language,32160,116
train_landmark_files/32163.parquet,language,32163,37
train_landmark_files/66008.parquet,language,66008,60
train_landmark_files/66007.parquet,language,66007,53
train_landmark_files/32154.parquet,language,32154,71
train_landmark_files/32167.parquet,language,32167,93
train_landmark_files/32155.parquet,language,32155,41
train_landmark_files/32337.parquet,later,32337,102
train_landmark_files/32338.parquet,later,32338,102
train_landmark_files/32320.parquet,later,32320,82
train_landmark_files/32321.parquet,later,32321,29
train_landmark_files/32322.parquet,later,32322,35
train_landmark_files/32323.parquet,later,32323,34
train_landmark_files/32324.parquet,later,32324,39
train_landmark_files/32325.parquet,later,32325,121
train_landmark_files/66015.parquet,later,66015,49
train_landmark_files/32326.parquet,later,32326,108
train_landmark_files/66014.parquet,later,66014,60
train_landmark_files/32333.parquet,later,32333,37
train_landmark_files/69395.parquet,man,69395,76
train_landmark_files/34746.parquet,man,34746,81
train_landmark_files/34733.parquet,man,34733,87
train_landmark_files/34734.parquet,man,34734,97
train_landmark_files/34736.parquet,man,34736,31
train_landmark_files/34737.parquet,man,34737,34
train_landmark_files/34738.parquet,man,34738,155
train_landmark_files/66098.parquet,man,66098,69
train_landmark_files/66099.parquet,man,66099,60
train_landmark_files/66097.parquet,man,66097,64
train_landmark_files/34732.parquet,man,34732,72
train_landmark_files/34742.parquet,man,34742,25
train_landmark_files/51057.parquet,shirt,51057,100
train_landmark_files/51081.parquet,shirt,51081,78
train_landmark_files/51056.parquet,shirt,51056,99
train_landmark_files/51058.parquet,shirt,51058,95
train_landmark_files/51059.parquet,shirt,51059,115
train_landmark_files/51060.parquet,shirt,51060,39
train_landmark_files/51061.parquet,shirt,51061,77
train_landmark_files/51063.parquet,shirt,51063,74
train_landmark_files/51064.parquet,shirt,51064,97
train_landmark_files/51066.parquet,shirt,51066,102
train_landmark_files/51067.parquet,shirt,51067,50
train_landmark_files/51068.parquet,shirt,51068,25
train_landmark_files/55364.parquet,study,55364,35
train_landmark_files/55365.parquet,study,55365,102
train_landmark_files/55366.parquet,study,55366,73
train_landmark_files/55368.parquet,study,55368,38
train_landmark_files/55369.parquet,study,55369,101
train_landmark_files/66575.parquet,study,66575,50
train_landmark_files/55361.parquet,study,55361,148
train_landmark_files/55375.parquet,study,55375,85
train_landmark_files/55362.parquet,study,55362,109
train_landmark_files/55363.parquet,study,55363,79
train_landmark_files/56852.parquet,tall,56852,84
train_landmark_files/56838.parquet,tall,56838,96
train_landmark_files/56839.parquet,tall,56839,39
train_landmark_files/56840.parquet,tall,56840,29
train_landmark_files/56841.parquet,tall,56841,46
train_landmark_files/56842.parquet,tall,56842,43
train_landmark_files/56843.parquet,tall,56843,90
train_landmark_files/56844.parquet,tall,56844,110
train_landmark_files/66591.parquet,tall,66591,52
train_landmark_files/56846.parquet,tall,56846,41
train_landmark_files/66592.parquet,tall,66592,66
train_landmark_files/56837.parquet,tall,56837,108
train_landmark_files/56848.parquet,tall,56848,35
train_landmark_files/69533.parquet,white,69533,75
train_landmark_files/63204.parquet,white,63204,37
train_landmark_files/63205.parquet,white,63205,79
train_landmark_files/63207.parquet,white,63207,23
train_landmark_files/63208.parquet,white,63208,37
train_landmark_files/63200.parquet,white,63200,109
train_landmark_files/63214.parquet,white,63214,72
train_landmark_files/63201.parquet,white,63201,84
train_landmark_files/63202.parquet,white,63202,72
train_landmark_files/63203.parquet,white,63203,35
train_landmark_files/64087.parquet,wrong,64087,78
train_landmark_files/64088.parquet,wrong,64088,65
train_landmark_files/64090.parquet,wrong,64090,25
train_landmark_files/64091.parquet,wrong,64091,35
train_landmark_files/64084.parquet,wrong,64084,90
train_landmark_files/64097.parquet,wrong,64097,80
train_landmark_files/64085.parquet,wrong,64085,60
train_landmark_files/64086.parquet,wrong,64086,33
train_landmark_files/00639.parquet,accident,00639,105
train_landmark_files/00624.parquet,accident,00624,109
train_landmark_files/00625.parquet,accident,00625,34
train_landmark_files/00626.parquet,accident,00626,44
train_landmark_files/00627.parquet,accident,00627,31
train_landmark_files/00628.parquet,accident,00628,35
train_landmark_files/00629.parquet,accident,00629,149
train_landmark_files/00631.parquet,accident,00631,75
train_landmark_files/00632.parquet,accident,00632,55
train_landmark_files/65009.parquet,accident,65009,56
train_landmark_files/00623.parquet,accident,00623,104
train_landmark_files/00633.parquet,accident,00633,25
train_landmark_files/00634.parquet,accident,00634,40
train_landmark_files/69213.parquet,apple,69213,91
train_landmark_files/03005.parquet,apple,03005,44
train_landmark_files/03008.parquet,apple,03008,88
train_landmark_files/65085.parquet,apple,65085,70
train_landmark_files/65086.parquet,apple,65086,76
train_landmark_files/65084.parquet,apple,65084,62
train_landmark_files/02999.parquet,apple,02999,72
train_landmark_files/03000.parquet,apple,03000,104
train_landmark_files/03001.parquet,apple,03001,91
train_landmark_files/03002.parquet,apple,03002,66
train_landmark_files/03003.parquet,apple,03003,128
train_landmark_files/69233.parquet,bird,69233,84
train_landmark_files/06333.parquet,bird,06333,36
train_landmark_files/06334.parquet,bird,06334,19
train_landmark_files/06335.parquet,bird,06335,111
train_landmark_files/06337.parquet,bird,06337,64
train_landmark_files/65187.parquet,bird,65187,66
train_landmark_files/06330.parquet,bird,06330,87
train_landmark_files/06343.parquet,bird,06343,82
train_landmark_files/06331.parquet,bird,06331,63
train_landmark_files/06332.parquet,bird,06332,91
train_landmark_files/09966.parquet,change,09966,72
train_landmark_files/09967.parquet,change,09967,45
train_landmark_files/09950.parquet,change,09950,69
train_landmark_files/09970.parquet,change,09970,84
train_landmark_files/09953.parquet,change,09953,88
train_landmark_files/09954.parquet,change,09954,31
train_landmark_files/09955.parquet,change,09955,75
train_landmark_files/09956.parquet,change,09956,29
train_landmark_files/09957.parquet,change,09957,99
train_landmark_files/09949.parquet,change,09949,76
train_landmark_files/09960.parquet,change,09960,98
train_landmark_files/09963.parquet,change,09963,51
train_landmark_files/69274.parquet,color,69274,107
train_landmark_files/11772.parquet,color,11772,71
train_landmark_files/11773.parquet,color,11773,55
train_landmark_files/11767.parquet,color,11767,74
train_landmark_files/11780.parquet,color,11780,90
train_landmark_files/11768.parquet,color,11768,67
train_landmark_files/11769.parquet,color,11769,43
train_landmark_files/11770.parquet,color,11770,92
train_landmark_files/69282.parquet,corn,69282,86
train_landmark_files/13337.parquet,corn,13337,80
